proba_col,threshold,precision,recall,specificity,accuracy,f1,fpr,tn,fp,fn,tp
gating_pred_proba,0.68,0.7499999999999533,0.011142061281337039,0.9998275936382053,0.9559683664222753,0.02195791399814129,0.00017240636179475022,23197,4,1065,12
gating_pred_proba,0.6900000000000001,0.8333333333332639,0.009285051067780865,0.9999137968191026,0.9559683664222753,0.01836547291090563,8.620318089737511e-05,23199,2,1067,10
gating_pred_proba,0.7000000000000001,0.8333333333332639,0.009285051067780865,0.9999137968191026,0.9559683664222753,0.01836547291090563,8.620318089737511e-05,23199,2,1067,10
gating_pred_proba,0.71,0.8333333333332639,0.009285051067780865,0.9999137968191026,0.9559683664222753,0.01836547291090563,8.620318089737511e-05,23199,2,1067,10
gating_pred_proba,0.72,0.8181818181817438,0.008356545961002779,0.9999137968191026,0.9559271768679463,0.01654411764703878,8.620318089737511e-05,23199,2,1068,9
gating_pred_proba,0.73,0.7777777777776913,0.006499535747446605,0.9999137968191026,0.9558447977592882,0.012891344383040628,8.620318089737511e-05,23199,2,1070,7
gating_pred_proba,0.74,0.7777777777776913,0.006499535747446605,0.9999137968191026,0.9558447977592882,0.012891344383040628,8.620318089737511e-05,23199,2,1070,7
gating_pred_proba,0.75,0.7777777777776913,0.006499535747446605,0.9999137968191026,0.9558447977592882,0.012891344383040628,8.620318089737511e-05,23199,2,1070,7
gating_pred_proba,0.76,0.8749999999998906,0.006499535747446605,0.9999568984095513,0.9558859873136173,0.012903225806436954,4.3101590448687555e-05,23200,1,1070,7
gating_pred_proba,0.77,0.8749999999998906,0.006499535747446605,0.9999568984095513,0.9558859873136173,0.012903225806436954,4.3101590448687555e-05,23200,1,1070,7
gating_pred_proba,0.78,0.8333333333331945,0.0046425255338904325,0.9999568984095513,0.9558036082049592,0.009233610341632548,4.3101590448687555e-05,23200,1,1072,5
gating_pred_proba,0.79,0.9999999999996666,0.0027855153203342597,1.0,0.9557624186506302,0.0055555555555500055,0.0,23201,0,1074,3
gating_pred_proba,0.8,0.9999999999996666,0.0027855153203342597,1.0,0.9557624186506302,0.0055555555555500055,0.0,23201,0,1074,3
gating_pred_proba,0.81,0.9999999999995,0.001857010213556173,1.0,0.9557212290963012,0.003707136237253012,0.0,23201,0,1075,2
gating_pred_proba,0.8200000000000001,0.9999999999995,0.001857010213556173,1.0,0.9557212290963012,0.003707136237253012,0.0,23201,0,1075,2
gating_pred_proba,0.8300000000000001,0.9999999999989999,0.0009285051067780865,1.0,0.9556800395419721,0.001855287569571427,0.0,23201,0,1076,1
gating_pred_proba,0.84,0.9999999999989999,0.0009285051067780865,1.0,0.9556800395419721,0.001855287569571427,0.0,23201,0,1076,1
gating_pred_proba,0.85,0.9999999999989999,0.0009285051067780865,1.0,0.9556800395419721,0.001855287569571427,0.0,23201,0,1076,1
gating_pred_proba,0.86,0.0,0.0,1.0,0.9556388499876431,0.0,0.0,23201,0,1077,0
gating_pred_proba,0.87,0.0,0.0,1.0,0.9556388499876431,0.0,0.0,23201,0,1077,0
gating_pred_proba,0.88,0.0,0.0,1.0,0.9556388499876431,0.0,0.0,23201,0,1077,0
gating_pred_proba,0.89,0.0,0.0,1.0,0.9556388499876431,0.0,0.0,23201,0,1077,0
gating_pred_proba,0.9,0.0,0.0,1.0,0.9556388499876431,0.0,0.0,23201,0,1077,0
gating_pred_proba,0.91,0.0,0.0,1.0,0.9556388499876431,0.0,0.0,23201,0,1077,0
gating_pred_proba,0.92,0.0,0.0,1.0,0.9556388499876431,0.0,0.0,23201,0,1077,0
gating_pred_proba,0.93,0.0,0.0,1.0,0.9556388499876431,0.0,0.0,23201,0,1077,0
gating_pred_proba,0.9400000000000001,0.0,0.0,1.0,0.9556388499876431,0.0,0.0,23201,0,1077,0
gating_pred_proba,0.9500000000000001,0.0,0.0,1.0,0.9556388499876431,0.0,0.0,23201,0,1077,0
gating_pred_proba,0.96,0.0,0.0,1.0,0.9556388499876431,0.0,0.0,23201,0,1077,0
gating_pred_proba,0.97,0.0,0.0,1.0,0.9556388499876431,0.0,0.0,23201,0,1077,0
gating_pred_proba,0.98,0.0,0.0,1.0,0.9556388499876431,0.0,0.0,23201,0,1077,0
gating_pred_proba,0.99,0.0,0.0,1.0,0.9556388499876431,0.0,0.0,23201,0,1077,0
gating_pred_proba,1.0,0.0,0.0,1.0,0.9556388499876431,0.0,0.0,23201,0,1077,0
s1_pred_proba,0.0,0.04436115001235687,0.9999999999999991,0.0,0.04436115001235687,0.08495365805552897,1.0,0,23201,0,1077
s1_pred_proba,0.01,0.0594600751794054,0.9693593314763223,0.28822033533037367,0.31843644451767034,0.11204722296742528,0.7117796646696263,6687,16514,33,1044
s1_pred_proba,0.02,0.08443939923157526,0.8978644382544096,0.5480798241455109,0.5635966718840102,0.1543618804372281,0.451920175854489,12716,10485,110,967
s1_pred_proba,0.03,0.10167773899335658,0.8384401114206121,0.6561355114003706,0.6642227531098114,0.1813617192205341,0.3438644885996293,15223,7978,174,903
s1_pred_proba,0.04,0.12838976558909146,0.7780872794800365,0.7547950519374165,0.7558283219375567,0.22041031036272368,0.2452049480625835,17512,5689,239,838
s1_pred_proba,0.05,0.15739596209311904,0.709377901578458,0.8237144950648679,0.8186423922893155,0.2576294048218237,0.17628550493513212,19111,4090,313,764
